參數,d,D,B
0,10,30,14
1,12,32,14
2,15,35,14
3,17,40,16
4,20,47,18
5,25,52,18
6,30,62,20
7,35,72,23
8,40,80,23
9,45,85,23
10,50,90,25
11,55,100,25
12,60,110,28
13,65,120,31
14,70,125,31
15,75,130,31
16,80,140,33
17,85,150,36
18,90,160,40
19,95,170,43
20,100,180,46
21,105,190,50
22,115,200,53
24,120,215,58
26,130,230,64
28,140,250,68
30,150,270,73
32,160,290,80
34,170,310,86
36,180,320,86
38,190,340,92
40,200,360,98
44,220,400,108
48,240,440,120
52,260,480,130
56,280,500,130
60,300,540,140
64,320,580,150
68,340,620,165
