編號,d,D,B
0,10,37,12
1,12,42,13
2,15,52,15
3,17,62,17
4,20,72,19
5,25,80,21
6,30,90,23
7,35,100,25
8,40,110,27
9,45,120,29
10,50,130,31
11,55,140,33
12,60,150,35
13,65,160,37
14,70,180,42
15,75,190,45
16,80,200,48
17,85,210,52
18,90,225,54
19,95,240,55
20,100,250,58
21,105,260,60
22,110,280,65
24,120,310,72
26,130,340,78
28,140,360,82
30,150,380,85
32,160,400,88
34,170,420,92
36,180,440,96
